"Type","Name","Id","Size","Extra","PM7Related"
"Image","ghcr.io/every-app/open-seo:latest","c84e9ffa847d","3.01GB","6 weeks ago","False"
"Image","mcp/playwright:<none>","cde0813c4187","1.43GB","3 months ago","True"
"Image","ollama/ollama:latest","2038a264392a","10.1GB","3 months ago","True"
"Image","mcp/brave-search:<none>","1a8dde377f92","294MB","3 months ago","True"
"Image","postgres:15","36388d068f46","633MB","3 months ago","False"
"Image","mcp/google-maps-comprehensive:<none>","fc37a12a21f4","252MB","10 months ago","True"
"Image","mcp/obsidian:<none>","0eba4c05742a","215MB","14 months ago","True"
"Image","docker/labs-vscode-installer:0.0.9","e2ad35612109","53.8MB","22 months ago","False"
"Container","open-seo-open-seo-1","ghcr.io/every-app/open-seo:latest","49.2MB (virtual 2.41GB)","Up 25 hours","False"
"Container","pineapplehq-db-1","postgres:15","20.5kB (virtual 469MB)","Up 25 hours (healthy)","True"
"Container","pineapple-local-worker","ollama/ollama:latest","16.4kB (virtual 6.31GB)","Up 25 hours","True"
"Container","docker_labs-vscode-installer-desktop-extension-service","docker/labs-vscode-installer:0.0.9","12.3kB (virtual 31.2MB)","Up 25 hours","False"
"Volume","docker-lsp","","(see df -v)","local","False"
"Volume","open-seo_open_seo_data","","(see df -v)","local","False"
"Volume","pineapple-marketing_postgres_data","","(see df -v)","local","True"
"Volume","pineapplehq_ollama_data","","(see df -v)","local","True"
"Volume","pineapplehq_pineapple_data","","(see df -v)","local","True"
