"SizeMB","SizeGB","Name","FullName"
"1439.4","1.406","OneDrive_2023-08-24.zip","C:\Users\estim\Downloads\OneDrive_2023-08-24.zip"
"1036.8","1.012","Ant - Reels-20260325T160923Z-1-001.zip","C:\Users\estim\Downloads\Ant - Reels-20260325T160923Z-1-001.zip"
"1019.4","0.995","Ulta _94 - The Shops at North East Mall - Hurst, TX.zip","C:\Users\estim\Downloads\Ulta _94 - The Shops at North East Mall - Hurst, TX.zip"
"768.6","0.751","QbkkykEtCOWx_1697463095.zip","C:\Users\estim\Downloads\QbkkykEtCOWx_1697463095.zip"
"708.5","0.692","Duwest Retail.zip","C:\Users\estim\Downloads\Duwest Retail.zip"
"696.9","0.681","PLANO ISD_WILLIAMS HIGH SCHOOL ___INVITATION TO BID___.zip","C:\Users\estim\Downloads\PLANO ISD_WILLIAMS HIGH SCHOOL ___INVITATION TO BID___.zip"
"633.6","0.619","CROWLEY ISD - CROWLEY ES _17  - CMAR BID.zip","C:\Users\estim\Downloads\CROWLEY ISD - CROWLEY ES _17  - CMAR BID.zip"
"592.7","0.579","BidFiles_1702410507798.zip","C:\Users\estim\Downloads\BidFiles_1702410507798.zip"
"563.1","0.55","Melissa ISD Middle School _2 - 100_ CD_s.zip","C:\Users\estim\Downloads\Melissa ISD Middle School _2 - 100_ CD_s.zip"
"499.8","0.488","DISD VICTOR H. HEXTER ELEMENTARY SCHOOL - NEW CONSTRUCTION.zip","C:\Users\estim\Downloads\DISD VICTOR H. HEXTER ELEMENTARY SCHOOL - NEW CONSTRUCTION.zip"
"455.3","0.445","Dallas - Arapaho Club Studio.zip","C:\Users\estim\Downloads\Dallas - Arapaho Club Studio.zip"
"430.7","0.421","Tyler Assisted Living Apartments.zip","C:\Users\estim\Downloads\Tyler Assisted Living Apartments.zip"
"409.2","0.4","Transfer.zip","C:\Users\estim\Downloads\Transfer.zip"
"349.6","0.341","AutoNation - Denton, Tx.zip","C:\Users\estim\Downloads\AutoNation - Denton, Tx.zip"
