"Name","Type","GB"
"agent-os-pack-extracted","Folder","4.476"
"OneDrive_2023-08-24.zip","File","1.406"
"Ant - Reels-20260325T160923Z-1-001.zip","File","1.012"
"Ulta _94 - The Shops at North East Mall - Hurst, TX.zip","File","0.995"
"QbkkykEtCOWx_1697463095.zip","File","0.751"
"Duwest Retail.zip","File","0.692"
"PLANO ISD_WILLIAMS HIGH SCHOOL ___INVITATION TO BID___.zip","File","0.681"
"CROWLEY ISD - CROWLEY ES _17  - CMAR BID.zip","File","0.619"
"BidFiles_1702410507798.zip","File","0.579"
"Melissa ISD Middle School _2 - 100_ CD_s.zip","File","0.55"
"DISD VICTOR H. HEXTER ELEMENTARY SCHOOL - NEW CONSTRUCTION.zip","File","0.488"
"Dallas - Arapaho Club Studio.zip","File","0.445"
"Tyler Assisted Living Apartments.zip","File","0.421"
"Transfer.zip","File","0.4"
"AutoNation - Denton, Tx.zip","File","0.341"
"Speedway Phase 3.zip","File","0.34"
"Streamliner 87th.zip","File","0.329"
"CITY OF ALEDO MUNICIPAL COMPLEX - CMAR BID.zip","File","0.314"
"1.01.24 The Houseman Building Dallas Permit Set.zip","File","0.295"
"Discovery-Village-Castle-Hills_-_Drawings (1).zip","File","0.293"
"GoogleDriveSetup.exe","File","0.292"
"Brock ISD - New Elementary School - CMAR.zip","File","0.28"
"2023-06-23 Bid Issue.pdf","File","0.278"
"CITY OF WILMER - NEW POLICE DEPT AND PUBLIC WORKS  - CMAR BID.zip","File","0.265"
"uVN5mhJ8LNpb_1701180398.zip","File","0.257"
"dI3Mxd0AYLpQ_1704725956.zip","File","0.255"
"Accio-0.5.6-beta-20260405-2014-win_4c358364.exe","File","0.254"
"10ylx9dtnwtg_1702044613.zip","File","0.242"
"ChuysHudsonOaksBidSet11823.pdf","File","0.241"
"Veterinary Emergency Group - Frisco, TX.zip","File","0.238"
"CityofAnnaLibraryPermit_BidSet.pdf","File","0.23"
"Gateway Travel Plaza - Victron Energy - Venus, TX.zip","File","0.226"
"Gateway Travel Plaza of Venus.zip","File","0.219"
"Caliber Car Wash - Rowlett, TX.zip","File","0.218"
"Plans.zip","File","0.216"
"Antigravity IDE.exe","File","0.213"
"Hampton Inn _ Suites DFW Airport.zip","File","0.209"
"Tesla- Ft. Worth.zip","File","0.208"
"Caliber Car Wash - Crossroads.zip","File","0.206"
"NbgOh7svdW7O_1705500377.zip","File","0.206"
"Sprouts Farmers Market - Dallas, TX.zip","File","0.203"
"Heartland Dental - Celina, TX.zip","File","0.202"
"XwdkA6zKBqB4_1702305378.zip","File","0.198"
"Allen PD - DD Drawings.pdf","File","0.19"
"tUPiGOtlfKiu_1697470623.zip","File","0.189"
"lGlzS7Vj7xyU_1704464286.zip","File","0.18"
"Preston Groves FINAL.zip","File","0.178"
"Club Studio - Arapaho Rd.- Dallas, TX.zip","File","0.177"
"qn2BE3ESmVsI_1701117342.zip","File","0.176"
"wordpress.com-win32-setup-8.2.3.exe","File","0.174"
"230721_MFDHQ_IFC_VOLBADMINISTRATION.pdf","File","0.171"
"5Gi37G5zku5B_1703859033.zip","File","0.17"
"BidFiles_1702320836159.zip","File","0.167"
"3 - Plans.zip","File","0.165"
"XceJlUFbSKz4_1702047881.zip","File","0.164"
"documents (1).zip","File","0.16"
"I9GYLaTIu8fX_1704294952.zip","File","0.16"
"Clean Freak Car Wash - Celina, TX - Due 01-08-24.zip","File","0.158"
"Hampton Inn Dallas TX.zip","File","0.157"
"OneDrive_2024-01-08.zip","File","0.153"
"HEB ISD Administration Addition _ Plaza Pkwy Reno.zip","File","0.152"
"Best Buy - Warehouse Improvements - Flower Mound TX.zip","File","0.151"
"Trade Partner Outreach Event _ Sherman ISD.zip","File","0.149"
"ASMEP Combined Updated 2023.10.16 (1).pdf","File","0.145"
"SL87 Architecturals - 2nd Submittal.pdf","File","0.145"
"ASMEP Combined Updated 2023.10.16.pdf","File","0.145"
"22_0304PaigeEstates100ConstructionDocuments_FLATTENED.pdf","File","0.145"
"stacher-7.1.8-setup.exe","File","0.143"
"23.11.16_Shoppes at Lake Forest_Bid Set_Binder1.pdf","File","0.14"
"TESLA SSD - PLANO, TX.zip","File","0.138"
"5G4iHc5MYV02_1705699904.zip","File","0.137"
"222300_KENDRICKES_PACKAGE2_CD.pdf","File","0.137"
"CoreLogic_Estimate_x64_v.08.02.58.msi","File","0.136"
"Good Shepherd Episcopal Church New Gymnasium_Storm Shelter Building.zip","File","0.135"
"VSCodeUserSetup-x64-1.113.0.exe","File","0.13"
"Golden Rule Charter School.zip","File","0.127"
"documents.zip","File","0.126"
"AutoNation_Eastchase__90_CD_Set_Bindercombinedset.pdf","File","0.121"
"Mesquite Fire Station _2.zip","File","0.117"
"9DYVdb2zd72N_1706551507.zip","File","0.113"
"2023-10-12 CURRENT COMBINED SET.zip","File","0.109"
"KEQmcVYePVTz_1703705436.zip","File","0.107"
"336 Marketplace Lot 1 (Bldg. 1G - Total Wine Shell) - Conroe, TX.zip","File","0.103"
"Sachse Aria Market.zip","File","0.099"
"dX7FgIHDW7LM_1706540670.zip","File","0.098"
"33C5ZGPtCTlk_1704905453.zip","File","0.097"
"4230616_Echo_FortWorthTXThruREV1 (1).pdf","File","0.095"
"4230616_Echo_FortWorthTXThruREV1 (2).pdf","File","0.095"
"4230616_Echo_FortWorthTXThruREV1.pdf","File","0.095"
"9RMJSPvh2d6h_1703880983.zip","File","0.088"
"Hi-Line Addition.zip","File","0.083"
"ouUvd5Jilzy1_1703090543.zip","File","0.081"
"MJTgktKd8JXA_1703174725.zip","File","0.081"
"ptrjqrKkyYKY_1706202557.zip","File","0.079"
"rX8lmLR0COo5_1703863994.zip","File","0.078"
"TXBBonhamIFP.pdf","File","0.076"
"Irving Fleet Maintenance Facility.zip","File","0.075"
"BidFiles_1702396675162.zip","File","0.074"
"sSx5bD11qaly_1704292962.zip","File","0.074"
"DXDEJ0EPDnqe_1702669579.zip","File","0.074"
"2tB54gDllK74_1704381019.zip","File","0.07"
"4ArchitecturalsTESLAFlowerMoundTX.pdf","File","0.069"
"20230808HunterParkPhase1IssueForPermit_compressed.pdf","File","0.067"
"pineapple website video (1).MOV","File","0.066"
"Canyon Creek Plans Revision.pdf","File","0.066"
"231019_Legacy_Hills_80__Review_Set_compressed.pdf","File","0.066"
"Discovery-Village-Castle-Hills_-_Drawings.zip","File","0.065"
"Greenwood-I-Plans.zip","File","0.065"
"ilovepdf_merged.pdf","File","0.061"
"2 Drawings and CADs.zip","File","0.061"
"ilovepdf_merged (1).pdf","File","0.061"
"Git-2.53.0.3-64-bit.exe","File","0.06"
"Greg Orduno Bakery.zip","File","0.059"
"20230808HunterParkPhase1IssueForPermit_compressed_compressed.pdf","File","0.058"
"Supplement $32,418.87","File","0.058"
"The_Unbroken_Kingdom.mp4","File","0.057"
"COA Tennis Center.zip","File","0.057"
"ACT Bid Set_12-21-23.pdf","File","0.057"
"ArchMEPSSheetsCOMBINED.pdf","File","0.056"
"submittal","Folder","0.055"
"!FULL_SET (1).pdf","File","0.055"
