"Category","Name","FullName","Bytes","FriendlySize","LastWriteTime","SHA256","SignatureStatus","SignerSubject","OpenAISigned","MatchesAuditedAugust14Pack"
"Agent OS pack","agent-os-pack-2026-06-27.zip","C:\Users\estim\Downloads\agent-os-pack-2026-06-27.zip","10475490","9.99 MB","6/27/2026 7:24:54 PM","74A32D90F25FB40B4886696037DAE8181AA139831EF16CE1B9CEE7F799A24AE0","UnknownError","","False","False"
"Agent OS pack","agent-os-pack-2026-07-06.zip","C:\Users\estim\Downloads\agent-os-pack-2026-07-06.zip","16796165","16.02 MB","7/6/2026 2:38:21 PM","DA00C009904373C70BF53BE74E9D215C3C7753BE61B26C126BB7AAF86227F765","UnknownError","","False","False"
"Agent OS pack","agent-os-pack-2026-07-10.zip","C:\Users\estim\Downloads\agent-os-pack-2026-07-10.zip","16850537","16.07 MB","7/11/2026 7:49:14 PM","21B25954E1E38B118F6658066078A14FAE265BFE12FA33B52EA763DE536394C3","UnknownError","","False","False"
"Agent OS pack","agent-os-pack-2026-07-13.zip","C:\Users\estim\Downloads\agent-os-pack-2026-07-13.zip","16862879","16.08 MB","7/13/2026 11:08:16 AM","3788AAA61E9B66C4A7DE6AA98987F8A391758AE0AD8E1D1E7DB65C51D1FFC0E4","UnknownError","","False","False"
"Agent OS pack","agent-os-pack-2026-07-17.zip","C:\Users\estim\Downloads\agent-os-pack-2026-07-17.zip","16894122","16.11 MB","7/17/2026 11:09:41 AM","A4F6219C90655DD2A2A031BE1E297DE260B480F302A7CA1CFF8FCB5E43D02F85","UnknownError","","False","False"
"Agent OS pack","agent-os-pack-2026-07-18.zip","C:\Users\estim\Downloads\agent-os-pack-2026-07-18.zip","16904099","16.12 MB","7/18/2026 11:21:00 AM","B2B96F9C9988A18C26F2CD059C803B95CE4F3F570087D4AE71701D0A56076B59","UnknownError","","False","False"
"Agent OS pack","agent-os-pack-2026-07-21.zip","C:\Users\estim\Downloads\agent-os-pack-2026-07-21.zip","16906942","16.12 MB","7/21/2026 11:55:19 AM","A347920206260B4096B7E53F56047BA5681E99CF327919FC1D63AB26A0F95341","UnknownError","","False","False"
"Agent OS pack","agent-os-pack-2026-07-30.zip","C:\Users\estim\Downloads\agent-os-pack-2026-07-30.zip","16912513","16.13 MB","7/30/2026 9:12:10 AM","9002B392BEF88A4F71820A3968E2FA2FE847CF5F756BAD39E92A2C2DC3626BAE","UnknownError","","False","False"
"Agent OS pack","agent-os-pack-2026-07-31.zip","C:\Users\estim\Downloads\agent-os-pack-2026-07-31.zip","16943295","16.16 MB","8/2/2026 2:41:41 PM","8ABD457EA3560D1573168B68F60342FADC832910A172F153EC25D02867B1A375","UnknownError","","False","False"
"Agent OS pack","agent-os-pack-2026-08-03.zip","C:\Users\estim\Downloads\agent-os-pack-2026-08-03.zip","16978939","16.19 MB","8/3/2026 8:34:08 AM","E54415F2313D85FAD06C64DF03E2BAFC24364E9BBF19B718437F8EC7C934FB90","UnknownError","","False","False"
"Agent OS pack","agent-os-pack-2026-08-06.zip","C:\Users\estim\Downloads\agent-os-pack-2026-08-06.zip","17007179","16.22 MB","8/6/2026 12:47:25 PM","83503B3161581AB440E7992FCA2773C0CEE0F85DBF3239E754810728CDE86973","UnknownError","","False","False"
"Agent OS pack","agent-os-pack-2026-08-10.zip","C:\Users\estim\Downloads\agent-os-pack-2026-08-10.zip","17026572","16.24 MB","8/10/2026 11:27:31 AM","6DF4FF72F71EFB403DA940B83294F86B582CD06BD17791F58AAE366F853DC60C","UnknownError","","False","False"
"Agent OS pack","agent-os-pack-2026-08-11.zip","C:\Users\estim\Downloads\agent-os-pack-2026-08-11.zip","17046471","16.26 MB","8/12/2026 11:40:45 AM","71C2B34EAA831A6C26A2AB5BEC8695A51C2989D0125CF84182969956E8593F5C","UnknownError","","False","False"
"Agent OS pack","agent-os-pack-2026-08-14.zip","C:\Users\estim\Downloads\agent-os-pack-2026-08-14.zip","17091090","16.30 MB","8/15/2026 12:20:27 PM","F4DFCF72A71A69B37F03C8A99A3ECEE8A8A85A9EE914DE9FD6F9A7EA81CC41A5","UnknownError","","False","True"
