"Path","Exists","Bytes","FriendlySize","FileCount","Error"
"C:\Users\estim\AppData\Local\Docker","True","73842273772","68.77 GB","101",""
"C:\Users\estim\Downloads","True","36225406369","33.74 GB","63083",""
"C:\Users\estim\AppData\Local\hermes","True","3907189118","3.64 GB","78385",""
"C:\Pineapple Contractors M7\04_Tech_Lab\Pineapple_Agent_OS","True","1830144867","1.70 GB","106210",""
"C:\Users\estim\.codex","True","999825334","953.51 MB","9131",""
"C:\Users\estim\AppData\Local\Temp","True","861435589","821.53 MB","1488",""
"C:\Pineapple Contractors M7\legacy_backup","True","194275","189.72 KB","8",""
"C:\Pineapple Contractors M7\Launcher_Archive","True","35445","34.61 KB","40",""
"C:\Users\estim\.ollama\models","True","0","ERROR","0","The property 'Sum' cannot be found on this object. Verify that the property exists."
"C:\Pineapple Contractors M7","True","0","ERROR","0","The system cannot find the file specified"
"C:\Pineapple Contractors M7\Agentic OS","True","0","ERROR","0","The system cannot find the file specified"
