"Name","Id","CPU","WorkingSetMB","PrivateMemoryMB"
"chrome","9644","908.859375","1024.8","1265.4"
"Code","49368","263.265625","601.9","1839.3"
"chrome","21596","3475.390625","434","577.4"
"vmmemWSL","3380",,"368","2741.3"
"chrome","34668","4456.125","366","1087.5"
"chrome","13732","1522.828125","316.5","357.2"
"chrome","25592","101.71875","316.1","315.6"
"MsMpEng","6124",,"309.6","554"
"claude","26876","82.5","302.4","404.2"
"chrome","9608","779.734375","298.6","364.3"
"chrome","46900","91.453125","260.5","380.8"
"chrome","33068","207.6875","243.8","270.1"
"explorer","46972","1833.40625","233.8","385.3"
"claude","25112","36.6875","226.6","567.5"
"Memory Compression","4500",,"181.7","15.8"
"Code","10276","243.953125","180.1","361.3"
"ChatGPT","50448","29.109375","167.2","221.6"
"Dropbox","26216","661.890625","154.4","361.5"
"node","23960","179.578125","139.9","266.1"
"claude","20280","1412.96875","129.5","368.5"
"ChatGPT","13200","12.671875","110","133.9"
"powershell","47316","91.296875","108","77.9"
"chrome","4244","3.9375","100.9","113.4"
"com.docker.backend","13164","840.15625","100.5","171.1"
"dwm","9440",,"99.3","306"
"msedgewebview2","19580","409.03125","84.9","85.1"
"ChatGPT","8824","172.25","84.3","282"
"claude","37692","134.546875","84.2","211.3"
"msedgewebview2","52088","280.65625","78.6","145.1"
"Dell.TechHub.Instrumentation.SubAgent","9224",,"78.2","126.5"
